question,answer,source_link,topic
Phí công bố mỹ phẩm là bao nhiêu?,"Theo quy định tại Thông tư số 277/2016/TT-BTC ngày 14/11/2016 của Bộ Tài chính về việc quy định mức thu, chế độ thu, nộp, quản lý và sử dụng phí trong lĩnh vực dược, mỹ phẩm, Phí thẩm định công bố sản phẩm mỹ phẩm là 500.000đ (Năm trăm nghìn đồng)/Phiếu công bố.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=24&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=20,Thủ tục hành chính lĩnh vực Mỹ phẩm
"Các hình thức tổ chức của cơ sở khám bệnh, chữa bệnh là gì?","Khoản 1 Điều 41 Luật Khám bệnh, chữa bệnh quy định các hình thức tổ chức của cơ sở khám bệnh, chữa bệnh bao gồm: 1. Bệnh viện; 2. Cơ sở giám định y khoa; 3. Phòng khám đa khoa; 4. Phòng khám chuyên khoa, bác sỹ gia đình; 5. Phòng chẩn trị y học cổ truyền; 6. Nhà hộ sinh; 7. Cơ sở chẩn đoán; 8. Cơ sở dịch vụ y tế; 9. Trạm y tế cấp xã và tương đương; 10. Các hình thức tổ chức khám bệnh, chữa bệnh khác.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=5&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,"Thủ tục hành chính lĩnh vực Cấp chứng chỉ hành nghề và giấy phép hoạt động khám bệnh, chữa bệnh"
Tài khoản nộp phí là gì?,Tên đơn vị hưởng: Cục An toàn thực phẩm Số TK: 1200208026339 Tại Ngân hàng: CN Sở Giao dịch Agribank,https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=3&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Quản lý thực phẩm và sản phẩm dinh dưỡng
Hồ sơ đề nghi cấp giấy đủ điều kiện kinh doanh dịch vụ kiểm nghiệm cần giấy tờ gì?,"1. Đơn đề nghị cấp Giấy chứng nhận đủ điều kiện kinh doanh dược theo Mẫu số 19 Phụ lục I của Nghị định số 54/2017/NĐ-CP; 2. Giấy chứng nhận đủ điều kiện kinh doanh dược hoặc Giấy chứng nhận Thực hành tốt tại địa điểm kinh doanh (nếu có) và các tài liệu kỹ thuật về địa Điểm, khu vực bảo quản, trang thiết bị bảo quản, tài liệu chuyên môn kỹ thuật và nhân sự đáp ứng Thực hành tốt thử nghiệm thuốc. 3. Bản sao có chứng thực Giấy chứng nhận đăng ký doanh nghiệp hoặc tài liệu pháp lý chứng minh việc thành lập cơ sở; 4. Bản sao có chứng thực Chứng chỉ hành nghề dược.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=23&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Dược
Khi doanh nghiệp nộp phí bằng hình thức Keypay nhưng chưa được xác nhận mà ngân hàng vẫn trừ phí?,"Doanh nghiệp thông báo lên hệ thống Keypay yêu cầu kiểm tra: - Nếu giao dịch thành công, dịch vụ chưa thực hiện: Doanh nghiệp liên hệ với bộ phận công nghệ thông tin hỗ trợ hoặc kế toán để kiểm tra. - Nếu Giao dịch không thành công: Doanh nghiệp liên hệ Ngân hàng để thông báo hoàn trả lại tiền đã bị trừ.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=3&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Quản lý thực phẩm và sản phẩm dinh dưỡng
Trách nhiệm của BHXH Việt Nam trong thực hiện BHYT?,"1. Tổ chức BHYT có chức năng thực hiện chế độ, chính sách, pháp luật về BHYT, quản lý và sử dụng quỹ BHYT. 2. Chính phủ quy định cụ thể về tổ chức, chức năng, nhiệm vụ và quyền hạn của tổ chức BHYT.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=1&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=30,Thủ tục hành chính lĩnh vực Bảo hiểm y tế
Hồ sơ đề nghị bổ nhiệm gồm những giấy tờ nào,"Hồ sơ bổ nhiệm Giám định viên pháp y và Giám định viên Pháp y tâm thần được quy định tại Điều 3, Thông tư số 02/2014/TT-BYT ngày 15/02/2014 của Bộ Y tế như sau: 1. Văn bản đề nghị bổ nhiệm giám định viên pháp y, giám định viên pháp y tâm thần và danh sách trích ngang theo mẫu quy định tại Phụ lục số 1 ban hành kèm theo Thông tư này; 2. Bản sao chứng thực các văn bằng, chứng chỉ theo tiêu chuẩn bổ nhiệm giám định viên pháp y, giám định viên pháp y tâm thần; 3. Bản sơ yếu lý lịch tự thuật theo mẫu quy định tại Phụ lục số 2 ban hành kèm theo Thông tư này, có dán ảnh màu 4cm x 6cm chụp trước thời gian nộp hồ sơ không quá 06 tháng, đóng dấu giáp lai và xác nhận của cơ quan nhà nước có thẩm quyền; 4. Phiếu lý lịch tư pháp; 5. Giấy xác nhận về thời gian thực tế hoạt động chuyên môn của cơ quan, tổ chức nơi người được đề nghị bổ nhiệm làm việc theo mẫu quy định tại Phụ lục số 3 ban hành kèm theo Thông tư này.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_linhvuc_id=18,Thủ tục bổ nhiệm Giám định viên pháp y và Giám định viên pháp y tâm thần
"Khi áp dụng quy trình rút gọn, hồ sơ đăng ký có được rút gọn hay không?","Hồ sơ thuốc đăng ký theo quy trình rút gọn được quy định tại Khoản 7 Điều 28 Thông tư 32/2018/TT-BYT. Gồm a) Các tài liệu hành chính theo quy định tại khoản 1, 2, 7, 11, 13, 18 Điều 24 Thông tư và các tài liệu sau: - Tài liệu quy định tại khoản 3 Điều 24 Thông tư này đối với cơ sở đăng ký của Việt Nam; - Tài liệu quy định tại khoản 4, 5 Điều 24 Thông tư này đối với cơ sở đăng ký của nước ngoài; - Tài liệu quy định tại khoản 6, 8 Điều 24 Thông tư này đối với hồ sơ đăng ký thuốc nước ngoài. b) Tài liệu chất lượng thực hiện theo quy định tại điểm a, b khoản 6 Điều 25 Thông tư.",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=23&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Dược
"Thủ tục hoàn trả phí khi nộp trùng, nộp nhầm và nộp không đúng nội dung?","Hồ sơ yêu cầu hoàn trả phí gồm: 1.Công văn trình bày rõ lý do hoàn phí. 2.Giấy nộp tiền ngân hàng bản gốc (đối với thanh toán bằng hình thức chuyển khoản ngân hàng), giao dịch thanh toán thành công (đối với thanh toán bằng hình thức Keypay) (Liên hệ Keypay qua sđt: 024.66728822/ 0983530867).",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=3&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Quản lý thực phẩm và sản phẩm dinh dưỡng
Thành phần hồ sơ bao gồm những gì?,"Theo quy định tại khoản 4 Nghị định 15/2018/NĐ-CP, hồ sơ đăng ký xác nhận nội dung quảng cáo gồm: a) Đơn đăng ký xác nhận nội dung quảng cáo theo Mẫu số 10 Phụ lục I ban hành kèm theo Nghị định này; b) Giấy tiếp nhận đăng ký bản công bố sản phẩm và Bản công bố sản phẩm đã được cơ quan có thẩm quyền xác nhận (bản sao có xác nhận của tổ chức, cá nhân); c) Mẫu nhãn sản phẩm (bản có xác nhận của tổ chức, cá nhân); d) Đối với quảng cáo trên báo nói, báo hình thì phải có kịch bản dự kiến quảng cáo và nội dung dự kiến quảng cáo ghi trong đĩa hình, đĩa âm thanh; đối với quảng cáo trên các phương tiện khác thì phải có ma két (mẫu nội dung) dự kiến quảng cáo (bản có xác nhận của tổ chức, cá nhân); đ) Đối với nội dung quảng cáo ngoài công dụng, tính năng của sản phẩm ghi trong bản công bố sản phẩm thì phải có tài liệu khoa học chứng minh (bản sao có xác nhận của tổ",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=3&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=75,Thủ tục hành chính lĩnh vực Quản lý thực phẩm và sản phẩm dinh dưỡng
Tôi muốn sản xuất mỹ phẩm thì cần điều kiện gì?,"Cơ sở sản xuất mỹ phẩm hoạt động được khi có Giấy chứng nhận đủ điều kiện sản xuất mỹ phẩm theo quy định tại Nghị định 93/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về điều kiện sản xuất mỹ phẩm. Theo đó, Cơ sở sản xuất mỹ phẩm phải đáp ứng các điều kiện như sau: 1. Điều kiện về nhân sự: Người phụ trách sản xuất của cơ sở phải có kiến thức chuyên môn về một trong các chuyên ngành sau: Hóa học, sinh học, dược học hoặc các chuyên ngành khác có liên quan đáp ứng yêu cầu của công việc. 2. Điều kiện về cơ sở vật chất: - Có địa điểm, diện tích, nhà xưởng, trang thiết bị đáp ứng với yêu cầu về dây chuyền sản xuất, loại sản phẩm mỹ phẩm mà cơ sở đó dự kiến sản xuất như đã nêu trong hồ sơ đề nghị cấp Giấy chứng nhận đủ điều kiện sản xuất mỹ phẩm; - Kho bảo quản nguyên liệu, vật liệu đóng gói và thành phẩm phải bảo đảm có sự tách biệt giữa nguyên liệu, vật liệu đóng gói và thành phẩm; có khu vực riêng để bảo quản các chất dễ cháy nổ, các chất độc tính cao, nguyên, vật liệu và sản phẩm bị loại, bị thu hồi v",https://dichvucong.moh.gov.vn/web/guest/hoi-dap?p_p_id=hoidap_WAR_oephoidapportlet&p_p_lifecycle=0&p_p_state=normal&p_p_mode=view&_hoidap_WAR_oephoidapportlet_jspPage=%2Fhtml%2Fhoidap%2Fportlet%2Fguihoidap%2Ftimkiem_cauhoi.jsp&_hoidap_WAR_oephoidapportlet_searchString=&_hoidap_WAR_oephoidapportlet_linhvuc_id=24&_hoidap_WAR_oephoidapportlet_resetCur=false&_hoidap_WAR_oephoidapportlet_delta=20,Thủ tục hành chính lĩnh vực Mỹ phẩm
