question,answer
Thủ tục lấy biên lai của các hồ sơ nộp phí hợp lệ?,"Hồ sơ yêu cầu lấy biên lai thu phí gồm: 1. Đối với hình thức nộp phí qua key pay: Sau 10 ngày làm việc, công ty nộp Thông báo thu phí, điền đầy đủ thông tin theo mẫu (tải mẫu trên trang web: nghidinh15.vfa.gov.vn ) và đóng dấu của công ty trên Thông báo thu phí. 2. Đối với hình thức nộp phí qua chuyển khoản ngân hàng: Sau 3 ngày làm việc, công ty nộp Thông báo thu phí điền đầy đủ thông tin theo mẫu (tải mẫu trên trang web: nghidinh15.vfa.gov.vn ) và giấy nộp tiền bản gốc của Ngân hàng (đối với hồ sơ là giấy chứng nhận HC hoặc CFS thì phải có kết quả phô tô ). Công ty phải hoàn toàn chịu trách nhiệm đối với các thông tin kê khai trong thông báo thu phí."
Cơ sở y tế muốn được đánh giá năng lực thực hiện xét nghiệm thì liên hệ với đơn vị nào?,"Theo quy định tại khoản 4 Điều 17 Nghị định số 155/ cơ sở y tế muốn được đánh giá năng lực thực hiện xét nghiệm thì cần liên hệ với cơ sở xét nghiệm HIV được Bộ Y tế công nhận. Hiện nay cơ sở y tế được Bộ Y tế công nhận là Phòng xét nghiệm tham chiếu quốc gia về xét nghiệm HIV tại Khoa HIV/AIDS, Viện Vệ sinh dịch tễ Trung ương và Khoa Xét nghiệm Sinh học lâm sàng, Viện Pasteur Thành phố Hồ Chí Minh."
"Thế nào là chứng chỉ hành nghề khám bệnh, chữa bệnh ?","Khoản 4 Điều 2 Luật Khám bệnh, chữa bệnh quy định chứng chỉ hành nghề khám bệnh, chữa bệnh là văn bản do cơ quan nhà nước có thẩm quyền cấp cho người có đủ điều kiện hành nghề theo quy định của Luật Khám bệnh, chữa bệnh."
Chứng chỉ hành nghề có thời hạn bao nhiêu năm và có giá trị như thế nào ?,"Khoản 2 Điều 25 Luật Khám bệnh, chữa bệnh quy định chứng chỉ hành nghề được cấp một lần và có giá trị trong phạm vi cả nước, không qui định thời hạn."
Việc thừa nhận chứng chỉ hành nghề giữa các nước như thế nào ?,"Điều 22 Luật Khám bệnh, chữa bệnh quy định: Việc thừa nhận chứng chỉ hành nghề khám bệnh, chữa bệnh giữa các nước được thực hiện theo quy định của thỏa thuận quốc tế hoặc điều ước quốc tế mà Cộng hòa xã hội chủ nghĩa Việt Nam là thành viên."
"Ai được gọi là người hành nghề khám bệnh, chữa bệnh ?","Khoản 6 Điều 2 Luật Khám bệnh, chữa bệnh quy định, người hành nghề khám bệnh, chữa bệnh là người đã được cấp chứng chỉ hành nghề và thực hiện khám bệnh, chữa bệnh."
Những người như thế nào thì được gọi là lương y? xin thẩm định lần tiếp theo?,"Khoản 8 Điều 2 Luật Khám bệnh, chữa bệnh quy định: Lương y là người có hiểu biết về lý luận y dược học cổ truyền, có kinh nghiệm khám bệnh, chữa bệnh bằng phương pháp y dược học cổ truyền có dùng thuốc hoặc không dùng thuốc được Bộ Y tế hoặc Sở Y tế công nhận sau khi có ý kiến của Hội đồng y trung ương hoặc Hội đông y cấp tỉnh."
"Nguyên tắc trong hành nghề khám bệnh, chữa bệnh bao gồm những nội dung gì?","Điều 3 Luật Khám bệnh, chữa bệnh quy định nguyên tắc trong hành nghề khám bệnh, chữa bệnh bao gồm các nội dung sau: 1. Bình đẳng, công bằng và không kỳ thị, phân biệt đối xử đối với người bệnh. 2. Tôn trọng quyền của người bệnh; giữ bí mật thông tin về tình trạng sức khỏe và đời tư được ghi trong hồ sơ bệnh án, trừ trường hợp quy định tại khoản 2 Điều 8, khoản 1 Điều 11 và khoản 4 Điều 59 của Luật Khám bệnh, chữa bệnh. 3. Kịp thời và tuân thủ đúng quy định chuyên môn kỹ thuật 4. Ưu tiên khám bệnh, chữa bệnh đối với trường hợp cấp cứu, trẻ em dưới 6 tuổi, người khuyết tật nặng, người từ đủ 80 tuổi trở lên, người có công với cách mạng, phụ nữ có thai. 5. Bảo đảm đạo đức nghề nghiệp của người hành nghề. 6. Tôn trọng, hợp tác và bảo vệ người hành nghề khi làm nhiệm vụ."
"Các hành vi nào bị cấm trong khám bệnh, chữa bệnh?","Điều 6 Luật Khám bệnh, chữa bệnh quy định các hành vi sau đây bị cấm trong khám bệnh, chữa bệnh: 1. Từ chối hoặc cố ý chậm cấp cứu người bệnh. 2. Khám bệnh, chữa bệnh không có chứng chỉ hành nghề hoặc đang trong thời gian bị đình chỉ hành nghề; cung cấp dịch vụ khám bệnh, chữa bệnh mà không có giấy phép hoạt động hoặc đang trong thời gian bị đình chỉ hoạt động. 3. Hành nghề khám bệnh, chữa bệnh, cung cấp dịch vụ khám bệnh, chữa bệnh vượt quá phạm vi hoạt động chuyên môn được ghi trong chứng chỉ hành nghề, giấy phép hoạt động, trừ trường hợp cấp cứu. 4. Thuê, mượn, cho thuê, cho mượn chứng chỉ hành nghề hoặc giấy phép hoạt động. 5. Người hành nghề bán thuốc cho người bệnh dưới mọi hình thức, trừ bác sỹ đông y, y sỹ đông y, lương y và người có bài thuốc gia truyền. 6. Áp dụng phương pháp chuyên môn kỹ thuật y tế chưa được công nhận, sử dụng thuốc ch"
"Những đối tượng nào được cấp chứng chỉ hành nghề khám bệnh, chữa bệnh?","Điều 17 Luật Khám bệnh, chữa bệnh quy định những đối tượng sau đây được cấp chứng chỉ hành nghề nếu có đủ điều kiện theo quy định của pháp luật: 1. Bác sỹ, y sỹ. 2. Điều dưỡng viên. 3. Hộ sinh viên. 4. Kỹ thuật viên. 5. Lương y. 6. Người có bài thuốc gia truyền hoặc có phương pháp chữa bệnh gia truyền. Dược sỹ trình độ đại học, cử nhân sinh học, cử nhân hóa học, và phải kèm theo chứng chỉ hoặc giấy chứng nhận đào tạo chuyên ngành kỹ thuật y học về xét nghiệm với thời gian đào tạo ít nhất là 3 tháng hoặc văn bằng đào tạo sau đại học về chuyên khoa xét nghiệm sẽ được cấp chứng chỉ hành nghề với văn bằng chuyên môn là kỹ thuật viên (Căn cứ điều điểm c, khoản 2 điều 5 Nghị định 109/2016/NĐ-CP ngày 1/7/2016 của Chính phủ quy định cấp chứng chỉ hành nghề đối với người hành nghề và cấp giấy phép hoạt động đối với cơ sở khám bệnh, chữa bệnh; Chú thích 6 Mẫu 01, Chú thích 8 Mẫ"
Bộ Y tế có cấp giấy phép xuất khẩu mẫu bệnh phẩm không?,"Ngày 12/11/2018, Chính phủ ban hành Nghị định số 155/2018/NĐ-CP về việc sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế. Nghị định có hiệu lực từ ngày 12/11/2018, theo đó Bộ Y tế sẽ không thực hiện cấp giấy phép xuất khẩu mẫu bệnh phẩm."
Điều kiện của cơ sở an toàn sinh học cấp I là gì?,"Điều kiện của cơ sở an toàn sinh học cấp I theo quy định tại Khoản 1, Điều 14, Nghị định số 155/2018/NĐ-CP ngày 12/11/2018 của Chính phủ về việc sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế và Điều 5, Nghị định số 103/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về đảm bảo an toàn sinh học tại phòng xét nghiệm, quy định khu vực xét nghiệm phải đáp ứng các điều kiện sau: 1. Điều kiện về cơ sở vật chất: Có dụng cụ rửa mắt khẩn cấp, hộp sơ cứu; 2. Điều kiện về trang thiết bị: a) Các thiết bị xét nghiệm phù hợp với kỹ thuật và mẫu bệnh phẩm hoặc vi sinh vật được xét nghiệm; b) Các trang thiết bị bảo hộ cá nhân phù hợp với loại kỹ thuật xét nghiệm thực hiện tại cơ sở xét nghiệm an toàn sinh học cấp I. 3. Điều kiện về nhân sự: a) Số lượng nhân viên: Có ít nhất 02 nhân viên xét nghiệm. Nhân viên trực tiếp thực hiện xét nghiệm vi sinh vật (sau đây gọi tắt là nhân viên xét nghiệm) phải có văn bằng, chứng chỉ đào tạo phù hợp với loại hình xét nghiệm mà cơ sở đó thực hiện; c) Nhân viên xét nghiệm, người chịu trách nhiệm về an toàn sinh học phải được tập huấn về an toàn sinh học từ cấp I trở lên; 4. Điều kiện về quy định th"
Điều kiện của cơ sở an toàn sinh học cấp II là gì?,"Điều kiện của cơ sở an toàn sinh học cấp II theo quy định tại Khoản 1, Điều 14, Nghị định số 155/2018/NĐ-CP ngày 12/11/2018 của Chính phủ về việc sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế và Điều 6, Nghị định số 103/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về đảm bảo an toàn sinh học tại phòng xét nghiệm, quy định khu vực xét nghiệm phải đáp ứng các điều kiện sau: 1. Điều kiện về cơ sở vật chất: a) Các điều kiện quy định tại khoản 1 Điều 5 Nghị định số 103/2016/NĐ-CP; b) Có hệ thống thu gom, xử lý hoặc trang thiết bị xử lý nước thải. Đối với cơ sở xét nghiệm đang hoạt động trước ngày Nghị định này có hiệu lực thi hành phải có kết quả xét nghiệm nước thải đạt quy chuẩn kỹ thuật quốc gia về môi trường trước khi thải vào nơi chứa nước thải chung; c) Có biển báo nguy hiểm sinh học trên cửa ra vào của khu vực xét nghiệm theo Mẫu số 01 tại Phụ lục ban hành kèm theo Nghị định số 103/2016/NĐ-CP; 2. Điều kiện về trang thiết bị: a) Các điều kiện về trang thiết bị quy định tại điểm a, điểm b khoản 2 Điều 5 Nghị định số 103/2016/NĐ-CP; b) Có tủ an toàn sinh học; c) Có thiết bị hấp chất thải y tế lây nhiễm hoặc thiết bị kh"
Điều kiện của cơ sở an toàn sinh học cấp III là gì?,"Điều kiện của cơ sở an toàn sinh học cấp III theo quy định tại Khoản 1, Điều 14, Nghị định số 155/2018/NĐ-CP ngày 12/11/2018 của Chính phủ về việc sửa đổi, bổ sung một số quy định liên quan đến điều kiện đầu tư kinh doanh thuộc phạm vi quản lý Nhà nước của Bộ Y tế và Điều 7, Nghị định số 103/2016/NĐ-CP ngày 01/7/2016 của Chính phủ quy định về đảm bảo an toàn sinh học tại phòng xét nghiệm, quy định khu vực xét nghiệm phải đáp ứng các điều kiện sau: 1. Điều kiện về cơ sở vật chất: a) Có phòng thực hiện xét nghiệm và phòng đệm; b) Các Điều kiện quy định tại Điểm a, Điểm b và Điểm d Khoản 1 Điều 6 Nghị định số 103/2016/NĐ-CP ngày 01/7/2016; c) Riêng biệt với các phòng xét nghiệm và khu vực khác của cơ sở xét nghiệm; d) Phòng xét nghiệm phải kín để bảo đảm tiệt trùng; đ) Hệ thống cửa ra vào khu vực xét nghiệm phải bảo đảm trong Điều kiện bình thường chỉ mở được cửa phòng đệm hoặc cửa khu vực xét nghiệm trong một thời Điểm; e) Phòng xét nghiệm có ô kính trong suốt hoặc thiết bị quan sát bên trong khu vực xét nghiệm từ bên ngoài; g) Hệ thống thông khí phải thiết kế theo nguyên tắc một chiều; không khí ra khỏi khu vực xét nghiệm phải qua bộ lọc không khí hiệu suất lọc cao; h) Có hệ thống báo động khi áp suất củ"
Trình tự thực hiện tự công bố cơ sở đủ điều kiện tiêm chủng như thế nào?,"Trình tự thực hiện tự công bố cơ sở đủ điều kiện tiêm chủng thực hiện theo quy định tại Điều 13, Nghị định số 104/2016/NĐ-CP ngày 01/7/2016, cụ thể - Trước khi thực hiện hoạt động tiêm chủng, cơ sở tiêm chủng phải gửi văn bản thông báo đủ điều kiện tiêm chủng theo mẫu tại Phụ lục I ban hành kèm theo Nghị định số 104/2016/NĐ-CP ngày 01/7/2016 cho Sở Y tế nơi cơ sở tiêm chủng đặt trụ sở. - Trong thời hạn 03 ngày làm việc, kể từ ngày nhận được thông báo đủ điều kiện tiêm chủng, Sở Y tế phải đăng tải thông tin về tên, địa chỉ, người đứng đầu cơ sở đã công bố đủ điều kiện tiêm chủng trên Trang thông tin điện tử của Sở Y tế (thời điểm tính ngày phải công bố thông tin được xác định theo dấu công văn đến của Sở Y tế)."
Cơ sở có được xin phép đề xuất nhập khẩu vị thuốc cổ truyền trong đơn hàng nhập khẩu hay không?,"Theo quy định tại Thông tư số 21/2018/TT-BYT, vị thuốc cổ truyền phải thực hiện đăng ký lưu hành. Vì vậy chỉ dược liệu được cấp phép nhập khẩu trong đơn hàng."
Hồ sơ đề nghị bổ nhiệm gồm những giấy tờ nào,"Hồ sơ bổ nhiệm Giám định viên pháp y và Giám định viên Pháp y tâm thần được quy định tại Điều 3, Thông tư số 02/2014/TT-BYT ngày 15/02/2014 của Bộ Y tế như sau: 1. Văn bản đề nghị bổ nhiệm giám định viên pháp y, giám định viên pháp y tâm thần và danh sách trích ngang theo mẫu quy định tại Phụ lục số 1 ban hành kèm theo Thông tư này; 2. Bản sao chứng thực các văn bằng, chứng chỉ theo tiêu chuẩn bổ nhiệm giám định viên pháp y, giám định viên pháp y tâm thần; 3. Bản sơ yếu lý lịch tự thuật theo mẫu quy định tại Phụ lục số 2 ban hành kèm theo Thông tư này, có dán ảnh màu 4cm x 6cm chụp trước thời gian nộp hồ sơ không quá 06 tháng, đóng dấu giáp lai và xác nhận của cơ quan nhà nước có thẩm quyền; 4. Phiếu lý lịch tư pháp; 5. Giấy xác nhận về thời gian thực tế hoạt động chuyên môn của cơ quan, tổ chức nơi người được đề nghị bổ nhiệm làm việc theo mẫu quy định tại Phụ lục số 3 ban hành kèm theo Thông tư này."
"Chiến trường B, C, K là chiến trường gì?","Chiến trường B, C, K là: chiến trường miền Nam (B), chiến trường Lào (C), chiến trường Campuchia (K) trong thời kỳ chống Mỹ cứu nước."
"Kinh phí hoạt động xét tặng TTND, TTUT được Thủ trưởng đơn vị bố trí từ nguồn nào của đơn vị?","Theo Điều 8 Nghị định 41/2015/NĐ-CP Thủ trưởng đơn vị có trách nhiệm bố trí kinh phí hoạt động xét tặng danh hiệu TTND-TTUT trích từ quỹ thi đua, khen thưởng của đơn vị hoặc nguồn xã hội hóa hợp pháp."
Đối tượng hưởng chính sách hỗ trợ sinh con đúng chính sách dân số gồm những ai?,"Điều 1 Nghị định số 39/2015/NĐ-CP ngày 27/5/2015 của Chính phủ quy định chính sách hỗ trợ cho phụ nữ thuộc hộ nghèo là người dân tộc thiểu số khi sinh con đúng chính sách dân số, quy định: Phụ nữ là người dân tộc thiểu số hoặc phụ nữ là người Kinh có chồng là người dân tộc thiểu số thuộc hộ nghèo, cư trú tại các đơn vị hành chính thuộc vùng khó khăn (trừ các đối tượng tham gia bảo hiểm xã hội bắt buộc) khi sinh con thuộc một trong các trường hợp sau đây: 1. Sinh một hoặc hai con; 2. Sinh con thứ ba, nếu cả hai vợ chồng hoặc một trong hai người thuộc dân tộc có số dân dưới 10.000 người hoặc thuộc dân tộc có nguy cơ suy giảm số dân (tỷ lệ sinh nhỏ hơn hoặc bằng tỷ lệ chết) theo công bố chính thức của Bộ Kế hoạch và Đầu tư; 3. Sinh lần thứ nhất mà sinh ba con trở lên; 4. Đã có một con đẻ, nhưng sinh lần thứ hai mà sinh hai con trở lên; 5. Sinh lần thứ ba trở lên, nếu tại thời điểm sinh chỉ có một con đẻ còn sống, kể cả con đẻ đã cho làm con nuôi; 6. S"
Định mức hỗ trợ cho đối tượng sinh con đúng chính sách dân số là bao nhiêu?,"Theo quy định tại Khoản 1 Điều 2 Nghị định số 39/2015/NĐ-CP của Chính phủ quy định chính sách hỗ trợ cho phụ nữ thuộc hộ nghèo là người dân tộc thiểu số khi sinh con đúng chính sách dân số, quy định định mức hỗ trợ là hai triệu đồng/người (2.000.000đ/người)."
Hồ sơ xét hưởng chính sách hỗ trợ sinh con đúng chính sách dân số gồm những giấy tờ gì?,"- Tại khoản 2 Điều 1 Thông tư số 45/2018/TT-BYT, có hiệu lực kể từ ngày 01 tháng 03 năm 2019, sửa đổi bổ sung Thông tư liên tịch số 07/2016/TTLT-BYT-BTC-BLĐTBXH quy định chi tiết Nghị định số 39/2015/NĐ-CP của Chính phủ quy định chính sách hỗ trợ cho phụ nữ thuộc hộ nghèo là người dân tộc thiểu số khi sinh con đúng chính sách dân số là: 1. Tờ khai đề nghị hỗ trợ kinh phí sinh con đúng chính sách dân số của đối tượng hưởng chính sách hỗ trợ theo Mẫu số 1a ban hành kèm theo Thông tư này đối với đối tượng có số định danh cá nhân và Mẫu số 1b ban hành kèm theo Thông tư này đối với đối tượng chưa có số định danh cá nhân. Thân nhân trực tiếp của đối tượng hưởng chính sách hỗ trợ thực hiện kê khai trong trường hợp đối tượng hưởng chính sách hỗ trợ không biết chữ, sức khỏe yếu, không tự khai được. -Và tại khoản 2 Điều 4 của Thông tư liên tịch số07/2016/TTLT-BYT-BTC-LĐTBXH và của Bộ Y tế, Bộ Tài chính, Bộ Lao động-Thương binh và Xã hội quy định chi tiết Nghị định số 39/2015/NĐ-CP ngày 27/5/2015 của Chính phủ quy định chính sách hỗ trợ cho phụ nữ thuộc hộ nghèo là người dân tộc thiểu số khi sinh con đún"
Tôi muốn nhập khẩu sản phẩm diệt côn trùng trong nhà thì phải làm thủ tục gì?,"Nếu sản phẩm diệt côn trùng mà công ty muốn nhập khẩu đã được cho phép bán tự do tại nước sản xuất hoặc một nước khác là thành viên của Tổ chức Thương mại thế giới, công ty có thể thực hiện đăng ký lưu hành để nhập khẩu và bán tại Việt Nam. Sau khi được Cục Quản lý môi trường y tế - Bộ Y tế cấp số đăng ký lưu hành cho chế phẩm đó, công ty được phép nhập khẩu không hạn chế số lượng, thủ tục làm tại Hải quan, không phải xin phép nhập khẩu tại Bộ Y tế. Thủ tục đăng ký lưu hành mới chế phẩm nhập khẩu được quy định tại Nghị định số 91/2016/NĐ-CP ngày 01/7/2016 và Nghị định số 155/2018/NĐ-CP ngày 12/11/2018 của Chính phủ."
Tôi muốn mở nhà thuốc tư nhân tôi cần thực hiện những thủ tục nào?,Thực hiện thủ tục đề nghị cấp Giấy chứng nhận đủ điều kiện kinh doanh dược. Thủ tục số 01 tại Quyết định số 5229/QĐ-BYT ngày 29/8/2018
Tôi muốn mở nhà thuốc tôi cần giấy tờ gì?,"- Đơn đề nghị cấp Giấy chứng nhận đủ điều kiện kinh doanh dược theo Mẫu số 19 Phụ lục I của Nghị định số 54/2017/NĐ-CP; 2. Tài liệu kỹ thuật về địa điểm, khu vực bảo quản, trang thiết bị bảo quản, tài liệu chuyên môn kỹ thuật và nhân sự đáp ứng Thực hành tốt cơ sở bán lẻ thuốc; 3. Bản sao có chứng thực Giấy chứng nhận đăng ký doanh nghiệp hoặc tài liệu pháp lý chứng minh việc thành lập cơ sở; 4. Bản sao có chứng thực Chứng chỉ hành nghề dược."
"Tôi nộp hồ sơ đăng ký mở nhà thuốc, quầy thuốc tại đâu?","Bạn nộp hồ sơ tại bộ phận một cửa của Sở Y tế tỉnh, thành phố trực thuộc Trung ương. Một số tỉnh, thành phố tiếp nhận hồ sơ tại bộ phận một cửa của Ủy ban nhân dân tỉnh, thành phố trực thuộc Trung ương."
"Sau khi được nộp hồ sơ, bao nhiêu lâu thì Sở Y tế sẽ tổ chức đánh giá","Trong thời hạn 20 ngày kể từ ngày nộp đủ hồ sơ hợp lệ, SYT sẽ tổ chức đánh giá"
Điều kiện về nhân viên giúp việc nhà thuốc là gì?,"- Từ 01/01/2020, người trực tiếp bán lẻ thuốc phải có văn bằng chuyên môn dược từ trung cấp dược trở lên. Tất cả các nhân viên phải không đang trong thời gian bị kỷ luật từ hình thức cảnh cáo trở lên có liên quan đến chuyên môn y, dược."
Bằng cấp chuyên môn và kinh nghiệm của nhân viên trực tiếp tham gia bán thuốc là như thế nào,"Tại thời điểm hiên nay, người trực tiếp bán lẻ thuốc phải có văn bằng chuyên môn dược từ sơ cấp dược trở lên"
Cơ quan nào có thẩm quyền cấp số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm nhập khẩu?,Cục Quản lý Dược - Bộ Y tế là cơ quan có thẩm quyền cấp số tiếp nhận Phiếu công bố sản phẩm mỹ phẩm nhập khẩu.
Tôi có thể nộp hồ sơ công bố mỹ phẩm nhập khẩu và nhận kết quả ở đâu?,"TTHC này đã triển khai dịch vụ công trực tuyến cấp độ 4 và kết nối theo cơ chế Một cửa Quốc gia. Tổ chức, cá nhân chịu trách nhiệm đưa sản phẩm ra thị trường nộp hồ sơ công bố mỹ phẩm nhập khẩu và nhận kết quả trực tuyến tại Cổng Thông tin Một cửa Quốc gia (http://vnsw.gov.vn)"
Phí công bố mỹ phẩm là bao nhiêu?,"Theo quy định tại Thông tư số 277/2016/TT-BTC ngày 14/11/2016 của Bộ Tài chính về việc quy định mức thu, chế độ thu, nộp, quản lý và sử dụng phí trong lĩnh vực dược, mỹ phẩm, Phí thẩm định công bố sản phẩm mỹ phẩm là 500.000đ (Năm trăm nghìn đồng)/Phiếu công bố."
